type,countryName,countryCode,mcc,mnc,brand,operator,status,bands,notes
National,Abkhazia,GE-AB,289,67,Aquafon,Aquafon JSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,MCC is not listed by ITU; LTE band 20
National,Abkhazia,GE-AB,289,88,A-Mobile,A-Mobile LLSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,MCC is not listed by ITU
National,Albania,AL,276,01,Telekom.al,Telekom Albania,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Albania,AL,276,02,Vodafone,Vodafone Albania,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Albania,AL,276,03,Eagle Mobile,Albtelecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,
National,Albania,AL,276,04,Plus Communication,Plus Communication,Operational,GSM 900 / GSM 1800 / UMTS 2100,
National,Andorra,AD,213,03,Mobiland,Servei De Tele. DAndorra,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,LTE band 20
National,Armenia,AM,283,01,Beeline,Veon Armenia CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 450 / LTE 1800,
National,Armenia,AM,283,04,Karabakh Telecom,Karabakh Telecom,Operational,GSM 900 / UMTS 900,
National,Armenia,AM,283,05,VivaCell-MTS,K Telecom CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2600,
National,Armenia,AM,283,10,Ucom,Ucom LLC,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,Former Orange
National,Austria,AT,232,01,A1.net,A1 Telekom Austria,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,former A1 / Mobilkom / PTA
National,Austria,AT,232,02,,A1 Telekom Austria,Reserved,,
National,Austria,AT,232,03,Magenta,T-Mobile Austria GmbH,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,"former Max.Mobil, T-Mobile; national roaming agreement with 232-10: uses Hutchison Drei UMTS where no own coverage"
National,Austria,AT,232,04,Magenta,T-Mobile Austria GmbH,Unknown,Unknown,former T-Mobile
National,Austria,AT,232,05,3,Hutchison Drei Austria,Operational,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600,owned by Hutchison Drei Austria / former Orange Austria / One / Connect; GSM 900 / LTE 900 rarely used
National,Austria,AT,232,06,Orange AT,Orange Austria GmbH,Not operational,Unknown,MNC withdrawn
National,Austria,AT,232,07,tele.ring,T-Mobile Austria,Operational,MVNO,brand of T-Mobile Austria
National,Austria,AT,232,08,Lycamobile,Lycamobile Austria,Operational,MVNO,
National,Austria,AT,232,09,Tele2Mobil,A1 Telekom Austria,Operational,MVNO,"division bought from Tele2 by A1 Telekom Austria; customers ""moved"" to bob (232-11)"
National,Austria,AT,232,10,3,Hutchison Drei Austria,Operational,UMTS 2100 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,national roaming agreement with 232-03: uses T-Mobile GSM where no own coverage
National,Austria,AT,232,11,bob,A1 Telekom Austria,Operational,MVNO,brand of A1 Telekom Austria
National,Austria,AT,232,12,yesss!,A1 Telekom Austria,Operational,MVNO,owned by A1 Telekom Austria / one-way national roaming agreement with 232-05
National,Austria,AT,232,13,Magenta,T-Mobile Austria GmbH,Operational,MVNO,Former UPC Austria
National,Austria,AT,232,14,,Hutchison Drei Austria,Reserved,Unknown,
National,Austria,AT,232,15,Vectone Mobile,Mundio Mobile Austria,Operational,MVNO,"former Barablu Mobile Austria, uses A1"
National,Austria,AT,232,16,,Hutchison Drei Austria,Reserved,Unknown,
National,Austria,AT,232,17,,MASS Response Service GmbH,Unknown,Unknown,
National,Austria,AT,232,18,,smartspace GmbH,Unknown,MVNO,
National,Austria,AT,232,19,,Hutchison Drei Austria,Unknown,Unknown,Former Tele2 Telecommunication GmbH
National,Austria,AT,232,20,m:tel,MTEL Austrija GmbH,Operational,MVNO,
National,Austria,AT,232,21,,"Salzburg AG für Energie, Verkehr und Telekommunikation",Unknown,Unknown,
National,Austria,AT,232,22,,Plintron Austria Limited,Unknown,MVNO,
National,Austria,AT,232,23,Magenta,T-Mobile Austria GmbH,Not operational,Unknown,former T-Mobile; MNC withdrawn
National,Austria,AT,232,24,,Smartel Services GmbH,Unknown,Unknown,
National,Austria,AT,232,25,,Holding Graz Kommunale Dienstleistungen GmbH,Unknown,Unknown,
National,Austria,AT,232,91,GSM-R A,ÖBB,Operational,GSM-R,railways communication
National,Austria,AT,232,92,ArgoNET,ArgoNET GmbH,Operational,CDMA450 / LTE450,machine to machine communication for critical infrastructure
National,Belarus,BY,257,01,A1,A1 Belarus,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,Former velcom; LTE via beCloud
National,Belarus,BY,257,02,MTS,Mobile TeleSystems,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,LTE via beCloud
National,Belarus,BY,257,03,DIALLOG,BelCel,Not operational,CDMA 450,Closed on 21 January 2014
National,Belarus,BY,257,04,life:),Belarusian Telecommunications Network,Operational,GSM 900 / GSM 1800 / UMTS 2100,Former BeST; LTE via beCloud
National,Belarus,BY,257,05,byfly,Beltelecom,Not operational,WiMAX 3500,Closed on 1 May 2017
National,Belarus,BY,257,06,beCloud,Belorussian Cloud Technologies,Operational,LTE 1800 / LTE 2600,"Former Yota Bel; wholesale network used by MTS, life:), and A1"
National,Belgium,BE,206,00,Proximus,Belgacom Mobile,Not operational,Unknown,MNC withdrawn
National,Belgium,BE,206,01,Proximus,Belgacom Mobile,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,
National,Belgium,BE,206,02,,Infrabel,Operational,GSM-R,
National,Belgium,BE,206,03,,Citymesh NV,Operational,LTE 3500,private network
National,Belgium,BE,206,05,Telenet,Telenet,Operational,MVNO,Using Base's Network
National,Belgium,BE,206,06,Lycamobile,Lycamobile sprl,Operational,MVNO,
National,Belgium,BE,206,07,Vectone Mobile,Mundio Mobile Belgium nv,Reserved,MVNO,
National,Belgium,BE,206,08,VOO,Nethys,Operational,MVNO,
National,Belgium,BE,206,09,Voxbone,Voxbone mobile,Not operational,MVNO,MNC withdrawn
National,Belgium,BE,206,10,Orange Belgium,Orange S.A.,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former Mobistar
National,Belgium,BE,206,15,,Elephant Talk Communications Schweiz GmbH,Not operational,Unknown,MNC withdrawn
National,Belgium,BE,206,16,,NextGen Mobile Ltd.,Not operational,Unknown,MNC withdrawn
National,Belgium,BE,206,20,Base,Telenet,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,
National,Belgium,BE,206,25,,Dense Air Belgium SPRL,Unknown,TD-LTE 2600,Former Voyacom
National,Belgium,BE,206,28,,BICS,Unknown,Unknown,
National,Belgium,BE,206,30,Mobile Vikings,Unleashed NV,Operational,MVNO,Uses Orange network
National,Belgium,BE,206,33,,Ericsson NV,Not operational,Unknown,Test network
National,Belgium,BE,206,40,JOIN,JOIN Experience (Belgium),Not operational,MVNO,MNC withdrawn
National,Belgium,BE,206,50,,IP Nexia,Not operational,MVNO,MNC withdrawn
National,Belgium,BE,206,71,,iSea NV,Not operational,Unknown,
National,Belgium,BE,206,72,,iSea NV,Not operational,Unknown,
National,Belgium,BE,206,73,,iSea NV,Not operational,Unknown,
National,Belgium,BE,206,74,,iSea NV,Not operational,Unknown,
National,Bosnia and Herzegovina,BA,218,03,HT-ERONET,Public Enterprise Croatian Telecom Ltd.,Operational,GSM 900 / GSM 1800 / UMTS 2100,
National,Bosnia and Herzegovina,BA,218,05,m:tel BiH,RS Telecommunications JSC Banja Luka,Operational,GSM 900 / GSM 1800 / UMTS 2100,"GSM-MS1, Mobilna Srpske, Mobi's"
National,Bosnia and Herzegovina,BA,218,90,BH Mobile,BH Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE,
National,Bulgaria,BG,284,01,A1,A1 Bulgaria,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100,"Former Citron, Mobiltel, M-Tel"
National,Bulgaria,BG,284,03,Vivacom,BTC,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100,Former Vivatel
National,Bulgaria,BG,284,05,Telenor,Telenor (Bulgaria),Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2100,Former Globul
National,Bulgaria,BG,284,07,НКЖИ,НАЦИОНАЛНА КОМПАНИЯ ЖЕЛЕЗОПЪТНА ИНФРАСТРУКТУРА,Operational,GSM-R,(The Bulgarian) National Railway Infrastructure Company
National,Bulgaria,BG,284,09,,COMPATEL LIMITED,Not operational,Unknown,MNC withdrawn
National,Bulgaria,BG,284,11,,Bulsatcom,Operational,LTE 1800,
National,Bulgaria,BG,284,13,Ти.ком,Ti.com JSC,Operational,LTE 1800,Former Max Telecom
National,Croatia,HR,219,01,T-Mobile,T-Hrvatski Telekom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,
National,Croatia,HR,219,02,Tele2,Tele2,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Croatia,HR,219,10,A1,A1 Hrvatska,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,Former Vipnet
National,Croatia,HR,219,12,,TELE FOCUS d.o.o.,Unknown,MVNO,
National,Cyprus,CY,280,01,Cytamobile-Vodafone,Cyprus Telecommunications Authority,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,
National,Cyprus,CY,280,02,Cytamobile-Vodafone,Cyprus Telecommunications Authority,Unknown,Unknown,
National,Cyprus,CY,280,10,Epic,Monaco Telecom,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,Former MTN
National,Cyprus,CY,280,20,PrimeTel,PrimeTel PLC,Operational,UMTS 2100 / LTE 900 / LTE 1800,"Originally MVNO, MNO since 2015. Uses Epic for 2G/3G roaming."
National,Cyprus,CY,280,22,lemontel,Lemontel Ltd,Operational,MVNO,
National,Cyprus,CY,280,23,Vectone Mobile,Mundio Mobile Cyprus Ltd.,Not operational,MVNO,MNC withdrawn
